fileid,labsamplename,labcategoryname,labcategorycode,labtestname,labtestcode,unit,result,resultasnumeric,resultmathoperation,asbestosdetected,labsampletype
-1,K22-De0001397,New Zealand Guidelines Semi Quantitative Asbestos in Soil,,Asbestos Presence / Absence,,,Asbestos NOT detected,,,Not Detected,Solid
-1,K22-De0001397,New Zealand Guidelines Semi Quantitative Asbestos in Soil,,Description of Asbestos Form,,,-,,,,Solid
-1,K22-De0001397,New Zealand Guidelines Semi Quantitative Asbestos in Soil,,Asbestos in ACM as % of Total Sample,,,-,,,,Solid
-1,K22-De0001397,New Zealand Guidelines Semi Quantitative Asbestos in Soil,,Combined Fibrous Asbestos + Asbestos Fines as % of Total Sample,,,-,,,,Solid
-1,K22-De0001397,Metals,,Arsenic,,,,,,,Solid
-1,K22-De0001397,Metals,,Cadmium,,,,,,,Solid
-1,K22-De0001397,Metals,,Chromium,,,,,,,Solid
-1,K22-De0001397,Metals,,Copper,,,,,,,Solid
-1,K22-De0001397,Metals,,Lead,,,,,,,Solid
-1,K22-De0001397,Metals,,Nickel,,,,,,,Solid
-1,K22-De0001397,Metals,,Zinc,,,,,,,Solid
-1,K22-De0001397,Heavy Metals,,Cadmium,,,,,,,Solid
-1,K22-De0001397,Heavy Metals,,Copper,,,,,,,Solid
-1,K22-De0001397,Heavy Metals,,Chromium,,,,,,,Solid
-1,K22-De0001397,Fibrous Asbestos (FA) >10 mm,,FA % asbestos (weighted average),,,N/A,,,,Solid
-1,K22-De0001397,Fibrous Asbestos (FA) >10 mm,,FA Asbestos in Soil,,,<0.001,0.0010,<,,Solid
-1,K22-De0001397,Fibrous Asbestos (FA) >10 mm,,Total FA,,,<0.00001,0.0000,<,,Solid
-1,K22-De0001397,Fibrous Asbestos (FA) <10 mm,,FA % asbestos (weighted average),,,N/A,,,,Solid
-1,K22-De0001397,Fibrous Asbestos (FA) <10 mm,,FA Asbestos in Soil,,,<0.001,0.0010,<,,Solid
-1,K22-De0001397,Fibrous Asbestos (FA) <10 mm,,Total FA,,,<0.00001,0.0000,<,,Solid
-1,K22-De0001397,Asbestos in Soils (NZ GAMAS),,Weight (<10 mm >2 mm),,,220.15,220.1500,,,Solid
-1,K22-De0001397,Asbestos in Soils (NZ GAMAS),,Weight (<2 mm),,,153.37,153.3700,,,Solid
-1,K22-De0001397,Asbestos in Soils (NZ GAMAS),,Weight (>10 mm),,,0,0.0000,,,Solid
-1,K22-De0001397,Asbestos in Soils (AS 4964-2004),,Trace Analysis,,,No trace asbestos detected.,,,,Solid
-1,K22-De0001397,Asbestos in Soils (AS 4964-2004),,Asbestos Detected,,,No,,,,Solid
