Eurofins Laboratory,,,,,,,,,,,,,,
TONKIN & TAYLOR,,,,,,,,,,,,,,
Laboratory Job Number:,1026750,,,,,,,,,,,,,
Client Reference,1092082,,,,,,,,,,,,,
Client Order Number:,COC1106150,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Lab sample ID,,TTS_CHA03 0.0-0.1m,TTS_CHA04 0.0-0.1m,TTS_CHA05 0.0-0.1m,TTS_CHA06 0.0-0.1m,TTS_CHA07 0.0-0.1m,TTS_HA1 0.0-0.1m,TTS_HA2 0.0-0.1m,TTS_MSCPT1 0.0-0.1m,TTS_MSCPT2 0.0-0.1m,TTS_CPT3 0.0-0.1m,TTS_CURTILAGE1,TTS_CURTILAGE2,TTS_CURTILAGE3
Sample location,,K22-Se0055883,K22-Se0055884,K22-Se0055885,K22-Se0055886,K22-Se0055887,K22-Se0055888,K22-Se0055889,K22-Se0055890,K22-Se0055891,K22-Se0055892,K22-Se0055893,K22-Se0055894,K22-Se0055895
Depth,,,,,,,,,,,,,,
Sample collection date,,7/9/2023,7/9/2023,7/9/2023,7/9/2023,7/9/2023,7/9/2023,7/9/2023,7/9/2023,7/9/2023,7/9/2023,7/9/2023,7/9/2023,7/9/2023
,,,,,,,,,,,,,,
Sample Type:  Solid,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Metals M7 (NZ MfE),,,,,,,,,,,,,,
Arsenic,mg/kg,21,29,30,30,24,26,35,28,33,30,19,35,28
Cadmium,mg/kg,3.8,4.8,7.2,5.3,4.7,4.2,3.3,7.3,4.6,1.9,11,13,6.9
Chromium,mg/kg,0.11,0.11,0.16,0.16,0.22,0.11,0.07,0.39,0.1,0.04,0.36,0.63,0.21
Copper,mg/kg,25,13,12,35,51,13,10,42,12,8.5,22,14,33
Lead,mg/kg,25,12,18,31,29,12,10,63,12,5.5,26,43,46
Nickel,mg/kg,51,41,91,45,20,39,36,87,55,16,360,850,85
Zinc,mg/kg,28,6,5,30,63,6.2,4.7,46,5.4,3.7,8.4,6.6,29
,,,,,,,,,,,,,,
Metals M8 (NZ MfE),,,,,,,,,,,,,,
Arsenic,mg/kg,53,74,77,100,260,33,71,160,42,20,260,3900,150
Lead,mg/kg,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Asbestos in Soils (AS 4964-2004),,,,,,,,,,,,,,
Sample Description,,Fine grained soil and rocks,,Fine grained soil and rocks,,Fine grained soil and rocks,Fine grained soil and rocks,Fine grained soil and rocks,,Fine grained soil and rocks,,,Fine grained soil and rocks,Fine grained soil and rocks
Received Weight,,544.46,,532.57,,530.21,614.37,647.76,,585.63,,,625.2,636.55
Total Dry Mass,,397.9,,369.38,,370.91,492.98,475.56,,429.2,,,477.39,484.09
Total Analytical Fraction,,397.9,,369.38,,370.91,492.98,475.56,,429.2,,,477.39,484.09
Asbestos Detected,,Yes,,Yes,,Yes,Yes,Yes,,Yes,,,Yes,Yes
Materials Identified,,Weathered fibre cement fragments and loose fibre bundles.,,Loose fibre bundles.,,Loose fibre bundles.,Weathered fibre cement fragments and loose fibre bundles.,Weathered fibre cement fragments and loose fibre bundles.,,Weathered fibre cement fragments and loose fibre bundles.,,,Loose fibre bundles.,Loose fibre bundles.
